pseudo coins actualLevel timer death score
ELZEBALTH|4|1|00:00:00:600|600|0000000
BABTOU|8|1|00:00:00:0000|24|99999
DEUS|12|12|00:01:00:0000|88|780000
IPENIS|7|7|11:00:10:0000|14|941928
|0|1|0:0:0:270|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|0:0:0:462|0|0000000
|0|1|0:0:0:462|0|0000000
|0|1|00:00:00:0000|0|0000000
JVB|2|3|0:0:13:-296|1|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
JVB|2|3|0:0:13:-296|1|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
B|5|10|0:5:45:-228021|4|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
JVB|2|3|0:0:13:-296|1|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
GITHUB|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
DWXB|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
JVB|0|1|00:00:00:0000|0|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
JVB|2|3|0:0:13:-296|1|0000000
ZSDWX|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
VH|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|21|0:0:1:1628|0|0000000
BV|0|1|00:00:00:0000|0|0000000
SDX|0|1|00:00:00:0000|0|0000000
XCV|0|1|00:00:00:0000|0|0000000
XCV|0|21|0:0:5:-800|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|00:00:00:0000|0|0000000
|0|1|0:0:2:1365|0|0000000
